Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-07-06 10:00:00,0.0803,3,5381.0,5388.71,5377.06,5387.98,-0.0007333821964595104
2018-07-06 10:30:00,0.0,1,5388.0,5388.88,5382.18,5384.03,-0.0008082715414706393
2018-07-06 11:00:00,0.0,3,5383.83,5387.1,5377.18,5379.68,-0.0013374046488663235
2018-07-06 11:30:00,0.0,1,5379.76,5379.76,5366.52,5372.49,-0.0006740301297139924
2018-07-06 12:00:00,0.0,2,5372.61,5373.6,5366.9,5368.87,-0.0006800763065481629
2018-07-06 12:30:00,0.0,1,5368.86,5369.63,5363.46,5365.22,-0.0006320470423564101
2018-07-06 13:00:00,0.6808,1,5364.89,5366.17,5360.37,5361.83,-0.00018838626701185736
2018-07-06 13:30:00,0.0,0,5361.21,5362.15,5358.24,5360.82,0.00036554888690847715
2018-07-06 14:00:00,0.0,0,5361.08,5363.71,5358.08,5362.78,-0.0008562658566241479
2018-07-06 14:30:00,0.0,0,5363.18,5371.0,5358.19,5358.19,-0.0006963730077494364
2018-07-06 15:00:00,-0.23835,2,5358.2,5358.28,5349.7,5354.46,0.000354781430353332
2018-07-06 15:30:00,0.0,4,5354.41,5357.03,5346.87,5356.36,-0.0012721946884452421
2018-07-06 16:00:00,0.10115,2,5356.39,5360.73,5345.46,5349.55,0.002201498617160754
2018-07-06 16:30:00,0.0,2,5349.52,5361.98,5346.4,5361.34,0.002215273618310086
2018-07-06 17:00:00,0.0,1,5361.65,5373.23,5361.65,5373.23,0.0004726021113177385
2018-07-06 17:30:00,0.0,1,5372.67,5376.11,5372.67,5375.77,0.005811085205409566
2018-07-09 09:00:00,0.4404,2,5403.04,5407.71,5400.12,5407.1,0.0010868682262658365
2018-07-09 09:30:00,0.0,0,5407.36,5418.96,5407.35,5412.98,-0.0009333781293120012
2018-07-09 10:00:00,0.1735,2,5413.14,5413.92,5403.65,5407.93,-0.001726734172431401
2018-07-09 10:30:00,0.21230000000000002,3,5408.12,5411.04,5398.6,5398.6,0.0015029636380084089
